nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
ATT INC,COMMON STOCK,00206R102,696,SOLE,21688,SH,21688,0,0
AIR PRODUCTS CHEMICALS INC,COMMON STOCK,009158106,1588,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK,032511107,337,SOLE,4602,SH,4602,0,0
AUTOMATIC DATA PROCESSING,COMMON STOCK,053015103,208,SOLE,1550,SH,1550,0,0
BERKSHIRE HATHAWAY INC CL B,COMMON STOCK,084670702,481,SOLE,2576,SH,2576,0,0
COCA COLA CO/THE,COMMON STOCK,191216100,789,SOLE,18000,SH,18000,0,0
WALT DISNEY CO/THE,COMMON STOCK,254687106,629,SOLE,6000,SH,6000,0,0
EXXON MOBIL CORP,COMMON STOCK,30231G102,2780,SOLE,33600,SH,33600,0,0
GENERAL ELECTRIC CO,COMMON STOCK,369604103,545,SOLE,40075,SH,40075,0,0
GLOBAL BLOOD THERAPEUTICS IN,COMMON STOCK,37890U108,630,SOLE,13928,SH,13928,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK,438516106,608,SOLE,4223,SH,4223,0,0
INTELLIA THERAPEUTICS INC,COMMON STOCK,45826J105,14348,SOLE,524423,SH,524423,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK,518439104,4766,SOLE,33400,SH,33400,0,0
LIMONEIRA CO,COMMON STOCK,532746104,207,SOLE,8400,SH,8400,0,0
MARSH MCLENNAN COS,COMMON STOCK,571748102,426,SOLE,5200,SH,5200,0,0
MERCK CO. INC.,COMMON STOCK,58933Y105,1311,SOLE,21600,SH,21600,0,0
PPDAI GROUP INC ADR,ADR,69354V108,1042,SOLE,175087,SH,175087,0,0
PFIZER INC,COMMON STOCK,717081103,1003,SOLE,27645,SH,27645,0,0
SP GLOBAL INC,COMMON STOCK,78409V104,1223,SOLE,6000,SH,6000,0,0
SPDR SP MIDCAP 400 ETF TRUST,ETF,78467Y107,1988,SOLE,5600,SH,5600,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK,882508104,717,SOLE,6500,SH,6500,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK,92343V104,892,SOLE,17735,SH,17735,0,0
WELLS FARGO CO,COMMON STOCK,949746101,1004,SOLE,18106,SH,18106,0,0
