nameOfIssuer,titleOfClass,cusip,value,investmentDiscretion,sshPrnamt,sshPrnamtType,Sole,Shared,None
AT+T INC,COMMON STOCK USD1.,00206R102,618,SOLE,18958,SH,18958,0,0
AIR PRODUCTS + CHEMICALS INC,COMMON STOCK USD1.,009158106,1301,SOLE,10200,SH,10200,0,0
ANADARKO PETROLEUM CORP,COMMON STOCK USD.1,032511107,278,SOLE,4602,SH,4602,0,0
COCA COLA CO/THE,COMMON STOCK USD.25,191216100,722,SOLE,18000,SH,18000,0,0
WALT DISNEY CO/THE,COMMON STOCK USD.01,254687106,613,SOLE,6000,SH,6000,0,0
EXXON MOBIL CORP,COMMON STOCK NPV,30231G102,2498,SOLE,33600,SH,33600,0,0
58.COM INC ADR,ADR,31680Q104,2023,SOLE,43000,SH,43000,0,0
GENERAL ELECTRIC CO,COMMON STOCK USD.06,369604103,1011,SOLE,40075,SH,40075,0,0
HONEYWELL INTERNATIONAL INC,COMMON STOCK USD1.,438516106,398,SOLE,4200,SH,4200,0,0
KITE PHARMA INC,COMMON STOCK USD.001,49803L109,381,SOLE,6850,SH,6850,0,0
ESTEE LAUDER COMPANIES CL A,COMMON STOCK USD.01,518439104,2695,SOLE,33400,SH,33400,0,0
LENDINGCLUB CORP,COMMON STOCK USD.01,52603A109,10201,SOLE,771055,SH,771055,0,0
MARSH + MCLENNAN COS,COMMON STOCK USD1.,571748102,272,SOLE,5200,SH,5200,0,0
MCGRAW HILL FINANCIAL INC,COMMON STOCK USD1.,580645109,519,SOLE,6000,SH,6000,0,0
MERCK + CO. INC.,COMMON STOCK USD.5,58933Y105,1067,SOLE,21600,SH,21600,0,0
OPHTHOTECH CORP,COMMON STOCK USD.001,683745103,653,SOLE,16110,SH,16110,0,0
PFIZER INC,COMMON STOCK USD.05,717081103,868,SOLE,27645,SH,27645,0,0
SPDR S+P MIDCAP 400 ETF TRUST,SPDR S+P MIDCAP 400 ETF TRST,78467Y107,1394,SOLE,5600,SH,5600,0,0
SHUTTERSTOCK INC,COMMON STOCK USD.01,825690100,1632,SOLE,53963,SH,53963,0,0
TEGNA INC,COMMON STOCK USD1.0,87901J105,206,SOLE,9200,SH,9200,0,0
TEXAS INSTRUMENTS INC,COMMON STOCK USD1.,882508104,322,SOLE,6500,SH,6500,0,0
VERIZON COMMUNICATIONS INC,COMMON STOCK USD.1,92343V104,772,SOLE,17735,SH,17735,0,0
VIPSHOP HOLDINGS LTD   ADR,ADR USD.0001,92763W103,515,SOLE,30678,SH,30678,0,0
WELLS FARGO + CO,COMMON STOCK USD1.666,949746101,930,SOLE,18106,SH,18106,0,0
